CTX/PPS/ASR: t
CTX/EPI/ASR: t’
CTX/ALG/ASR: tʰ
CTX/IPU/ASR: l
CTX/RFU/ASR: tr
CTX/REB/ASR: tl
CTX/THR/ASR: tř
CTX/EXV/ASR: tw
CTX/AXM/ASR: ty
PCT/PPS/ASR: k
PCT/EPI/ASR: k’
PCT/ALG/ASR: kʰ
PCT/IPU/ASR: x
PCT/RFU/ASR: kr
PCT/REB/ASR: kl
PCT/THR/ASR: kř
PCT/EXV/ASR: kw
PCT/AXM/ASR: ky
ITR/PPS/ASR: p
ITR/EPI/ASR: p’
ITR/ALG/ASR: pʰ
ITR/IPU/ASR: vv
ITR/RFU/ASR: pr
ITR/REB/ASR: pl
ITR/THR/ASR: př
ITR/EXV/ASR: pw
ITR/AXM/ASR: py
REP/PPS/ASR: q
REP/EPI/ASR: q’
REP/ALG/ASR: qʰ
REP/IPU/ASR: ř
REP/RFU/ASR: qr
REP/REB/ASR: ql
REP/THR/ASR: xr
REP/EXV/ASR: qw
REP/AXM/ASR: xl
ITM/PPS/ASR: b
ITM/EPI/ASR: v
ITM/ALG/ASR: vr
ITM/IPU/ASR: vl
ITM/RFU/ASR: br
ITM/REB/ASR: bl
ITM/THR/ASR: bř
ITM/EXV/ASR: bw
ITM/AXM/ASR: by
RCT/PPS/ASR: d
RCT/EPI/ASR: dh
RCT/ALG/ASR: ż
RCT/IPU/ASR: żż
RCT/RFU/ASR: dr
RCT/REB/ASR: dl
RCT/THR/ASR: dř
RCT/EXV/ASR: dw
RCT/AXM/ASR: dy
FRE/PPS/ASR: g
FRE/EPI/ASR: xh
FRE/ALG/ASR: j
FRE/IPU/ASR: jj
FRE/RFU/ASR: gr
FRE/REB/ASR: gl
FRE/THR/ASR: gř
FRE/EXV/ASR: gw
FRE/AXM/ASR: gy
FRG/PPS/ASR: m
FRG/EPI/ASR: mm
FRG/ALG/ASR: r
FRG/IPU/ASR: rr
FRG/RFU/ASR: mr
FRG/REB/ASR: ml
FRG/THR/ASR: mř
FRG/EXV/ASR: mw
FRG/AXM/ASR: my
FLC/PPS/ASR: n
FLC/EPI/ASR: nn
FLC/ALG/ASR: ddh
FLC/IPU/ASR: ll
FLC/RFU/ASR: nr
FLC/REB/ASR: nl
FLC/THR/ASR: nř
FLC/EXV/ASR: nw
FLC/AXM/ASR: ny
CTX/PPS/IRG: s
CTX/EPI/IRG: ss
CTX/ALG/IRG: sm
CTX/IPU/IRG: sn
CTX/RFU/IRG: sr
CTX/REB/IRG: sl
CTX/THR/IRG: sř
CTX/EXV/IRG: sw
CTX/AXM/IRG: sy
PCT/PPS/IRG: š
PCT/EPI/IRG: šš
PCT/ALG/IRG: šm
PCT/IPU/IRG: šn
PCT/RFU/IRG: šr
PCT/REB/IRG: šl
PCT/THR/IRG: šř
PCT/EXV/IRG: šw
PCT/AXM/IRG: šy
ITR/PPS/IRG: ç
ITR/EPI/IRG: çç
ITR/ALG/IRG: çm
ITR/IPU/IRG: çn
ITR/RFU/IRG: çl
ITR/REB/IRG: çr
ITR/THR/IRG: çř
ITR/EXV/IRG: çw
ITR/AXM/IRG: ly
REP/PPS/IRG: c
REP/EPI/IRG: cc
REP/ALG/IRG: cm
REP/IPU/IRG: cn
REP/RFU/IRG: cr
REP/REB/IRG: cl
REP/THR/IRG: cř
REP/EXV/IRG: cw
REP/AXM/IRG: cy
ITM/PPS/IRG: č
ITM/EPI/IRG: čč
ITM/ALG/IRG: čm
ITM/IPU/IRG: čn
ITM/RFU/IRG: čr
ITM/REB/IRG: čl
ITM/THR/IRG: čř
ITM/EXV/IRG: čw
ITM/AXM/IRG: čy
RCT/PPS/IRG: z
RCT/EPI/IRG: zz
RCT/ALG/IRG: zm
RCT/IPU/IRG: zn
RCT/RFU/IRG: zr
RCT/REB/IRG: zl
RCT/THR/IRG: zř
RCT/EXV/IRG: zw
RCT/AXM/IRG: zy
FRE/PPS/IRG: ž
FRE/EPI/IRG: žž
FRE/ALG/IRG: žm
FRE/IPU/IRG: žn
FRE/RFU/IRG: žr
FRE/REB/IRG: žl
FRE/THR/IRG: žř
FRE/EXV/IRG: žw
FRE/AXM/IRG: žy
FRG/PPS/IRG: f
FRG/EPI/IRG: ff
FRG/ALG/IRG: fw
FRG/IPU/IRG: fy
FRG/RFU/IRG: fr
FRG/REB/IRG: fl
FRG/THR/IRG: fř
FRG/EXV/IRG: vw
FRG/AXM/IRG: vy
FLC/PPS/IRG: ţ
FLC/EPI/IRG: ţţ
FLC/ALG/IRG: ţw
FLC/IPU/IRG: ţy
FLC/RFU/IRG: ţr
FLC/REB/IRG: ţl
