NRM/DEL/M/CSL/UNI: l
NRM/DEL/M/CSL/DPX: ll
NRM/DEL/M/CSL/DCT: tļ
NRM/DEL/M/CSL/AGG: ļ
NRM/DEL/M/CSL/SEG: ļļ
NRM/DEL/M/CSL/CPN: řļ
NRM/DEL/M/CSL/COH: sk
NRM/DEL/M/CSL/CST: šk
NRM/DEL/M/CSL/MLT: kţ
NRM/DEL/M/ASO/UNI: r
NRM/DEL/M/ASO/DPX: rr
NRM/DEL/M/ASO/DCT: lļ
NRM/DEL/M/ASO/AGG: rl
NRM/DEL/M/ASO/SEG: rļ
NRM/DEL/M/ASO/CPN: řl
NRM/DEL/M/ASO/COH: st
NRM/DEL/M/ASO/CST: št
NRM/DEL/M/ASO/MLT: kç
NRM/DEL/M/VAR/UNI: m
NRM/DEL/M/VAR/DPX: mm
NRM/DEL/M/VAR/DCT: lm
NRM/DEL/M/VAR/AGG: rm
NRM/DEL/M/VAR/SEG: mļ
NRM/DEL/M/VAR/CPN: řm
NRM/DEL/M/VAR/COH: sp
NRM/DEL/M/VAR/CST: šp
NRM/DEL/M/VAR/MLT: pţ
NRM/DEL/M/COA/UNI: n
NRM/DEL/M/COA/DPX: nn
NRM/DEL/M/COA/DCT: ln
NRM/DEL/M/COA/AGG: rn
NRM/DEL/M/COA/SEG: nļ
NRM/DEL/M/COA/CPN: řn
NRM/DEL/M/COA/COH: sq
NRM/DEL/M/COA/CST: šq
NRM/DEL/M/COA/MLT: qţ
NRM/DEL/U/CSL/UNI: t
NRM/DEL/U/CSL/DPX: ļt
NRM/DEL/U/CSL/DCT: lt
NRM/DEL/U/CSL/AGG: rt
NRM/DEL/U/CSL/SEG: nt
NRM/DEL/U/CSL/CPN: řt
NRM/DEL/U/CSL/COH: ňt
NRM/DEL/U/CSL/CST: ňd
NRM/DEL/U/CSL/MLT: çt
NRM/DEL/U/ASO/UNI: k
NRM/DEL/U/ASO/DPX: ļk
NRM/DEL/U/ASO/DCT: lk
NRM/DEL/U/ASO/AGG: rk
NRM/DEL/U/ASO/SEG: ňk
NRM/DEL/U/ASO/CPN: řk
NRM/DEL/U/ASO/COH: kt
NRM/DEL/U/ASO/CST: xt
NRM/DEL/U/ASO/MLT: çk
NRM/DEL/U/VAR/UNI: p
NRM/DEL/U/VAR/DPX: ļp
NRM/DEL/U/VAR/DCT: lp
NRM/DEL/U/VAR/AGG: rp
NRM/DEL/U/VAR/SEG: mp
NRM/DEL/U/VAR/CPN: řp
NRM/DEL/U/VAR/COH: pt
NRM/DEL/U/VAR/CST: ft
NRM/DEL/U/VAR/MLT: çp
NRM/DEL/U/COA/UNI: q
NRM/DEL/U/COA/DPX: ļq
NRM/DEL/U/COA/DCT: lq
