EXS: a
EXS/SCH: o
EXS/ISR: ai
EXS/ATH: â
EXS/RSL: au
EXS/SBQ: ëi
EXS/CCM: oa
EXS/OBJ: ea
EXS/PRT: aì
EXS/AFI: aù
FNC: i
FNC/SCH: ö
FNC/ISR: ui
FNC/ATH: ae
FNC/RSL: iu
FNC/SBQ: ëu
FNC/CCM: oe
FNC/OBJ: ia
FNC/OBJ: ua
FNC/PRT: uì
FNC/AFI: iù
RPS: e
RPS/SCH: ü
RPS/SCH: öe
RPS/ISR: ei
RPS/ATH: ê
RPS/RSL: eu
RPS/SBQ: öi
RPS/CCM: eo
RPS/OBJ: ie
RPS/OBJ: ue
RPS/PRT: eì
RPS/AFI: eù
AMG: u
AMG/SCH: öa
AMG/ISR: oi
AMG/ATH: ô
AMG/RSL: ou
AMG/SBQ: öu
AMG/CCM: iö
AMG/CCM: uö
AMG/OBJ: io
AMG/OBJ: uo
AMG/PRT: oì
AMG/AFI: où
