CNF: h
AFM: y
RPT: w
INF: hw
ITU: hh
PSM: hm
PSM2: hn
PPT: hr
PPT2: lw
CJT: ly
DUB: rw
TEN: ry
PUT: řw
IPB: řy
FAC: n-n
SUB: m-m
ASM: l-l
SPC: r-r
COU: ň-ň
HYP: r-n
IPL: l-ň
ASC: r-ň
RTR/FAC: n-nr
RTR/SUB: n-nt
RTR/ASM: n-nt’
RTR/SPC: n-nd
RTR/COU: n-ntʰ
RTR/HYP: n-nţ
RTR/IPL: n-ndh
RTR/ASC: n-nh
PRS/FAC: m-mr
PRS/SUB: m-mp
PRS/ASM: m-mp’
PRS/SPC: m-mb
PRS/COU: m-mpʰ
PRS/HYP: m-mf
PRS/IPL: m-mv
PRS/ASC: m-mh
HAB/FAC: l-lr
HAB/SUB: l-lt
HAB/ASM: l-lt’
HAB/SPC: l-ld
HAB/COU: l-ltʰ
HAB/HYP: l-lţ
HAB/IPL: l-ldh
HAB/ASC: l-lh
PRG/FAC: r-rn
PRG/SUB: r-rt
PRG/ASM: r-rt’
PRG/SPC: r-rd
PRG/COU: r-rtʰ
PRG/HYP: r-rţ
PRG/IPL: r-rdh
PRG/ASC: r-rh
IMM/FAC: ň-ňr
IMM/SUB: ň-ňk
IMM/ASM: ň-ňk’
IMM/SPC: ň-ňg
IMM/COU: ň-ňkʰ
IMM/HYP: ň-ňx
IMM/IPL: ň-ňq
IMM/ASC: ň-ňh
PCS/FAC: n-nw
PCS/SUB: n-ntw
PCS/ASM: n-nt’w
PCS/SPC: n-ndw
PCS/COU: n-ntʰw
PCS/HYP: n-nţw
PCS/IPL: n-ndhw
PCS/ASC: n-nhw
REG/FAC: m-mw
REG/SUB: m-mpw
REG/ASM: m-mp’w
REG/SPC: m-mbw
REG/COU: m-mpʰw
REG/HYP: m-mfw
REG/IPL: m-mvw
REG/ASC: m-mhw
EXP/FAC: l-lw
EXP/SUB: l-ltw
EXP/ASM: l-lt’w
EXP/SPC: l-ldw
EXP/COU: l-ltʰw
EXP/HYP: l-lţw
EXP/IPL: l-ldhw
EXP/ASC: l-lhw
RSM/FAC: r-rw
RSM/SUB: r-rtw
RSM/ASM: r-rt’w
RSM/SPC: r-rdw
RSM/COU: r-rtʰw
RSM/HYP: r-rţw
RSM/IPL: r-rdhw
RSM/ASC: r-rhw
CSS/FAC: ň-ňw
CSS/SUB: ň-ňkw
CSS/ASM: ň-ňk’w
CSS/SPC: ň-ňgw
CSS/COU: ň-ňkʰw
CSS/HYP: ň-ňxw
CSS/IPL: ň-ňqw
CSS/ASC: ň-ňhw
RCS/FAC: n-ny
RCS/SUB: n-nty
RCS/ASM: n-nt’y
RCS/SPC: n-ndy
RCS/COU: n-ntʰy
RCS/HYP: n-nţy
RCS/IPL: n-ndhy
RCS/ASC: n-nç
PAU /FAC: m-my
PAU /SUB: m-mpy
PAU /ASM: m-mp’y
PAU /SPC: m-mby
PAU /COU: m-mpʰy
PAU /HYP: m-mfy
PAU /IPL: m-mvy
PAU /ASC: m-mç
RGR/FAC: l-ly
RGR/SUB: l-lty
RGR/ASM: l-lt’y
RGR/SPC: l-ldy
RGR/COU: l-ltʰy
RGR/HYP: l-lţy
RGR/IPL: l-ldhy
RGR/ASC: l-lç
PCL/FAC: r-ry
PCL/SUB: r-rty
PCL/ASM: r-rt’y
PCL/SPC: r-rdy
PCL/COU: r-rtʰy
PCL/HYP: r-rţy
PCL/IPL: r-rdhy
PCL/ASC: r-rç
CNT/FAC: n-ns
CNT/SUB: n-nz
CNT/ASM: n-nsw
CNT/SPC: n-nzw
CNT/COU: n-nc’
CNT/HYP: n-ncʰ
CNT/IPL: n-nc’w
CNT/ASC: n-ncʰw
ICS/FAC: m-ms
ICS/SUB: m-mz
ICS/ASM: m-msw
ICS/SPC: m-mzw
ICS/COU: m-mc’
ICS/HYP: m-mcʰ
ICS/IPL: m-mc’w
ICS/ASC: m-mcʰw
PMP/FAC: ň-ňs
PMP/SUB: ň-ňz
PMP/ASM: ň-ňsw
PMP/SPC: ň-ňzw
PMP/COU: ň-ňc’
PMP/HYP: ň-ňcʰ
PMP/IPL: ň-ňc’w
PMP/ASC: ň-ňcʰw
CLM/FAC: l-ls
CLM/SUB: l-lz
CLM/ASM: l-lsw
CLM/SPC: l-lzw
CLM/COU: l-lc’
CLM/HYP: l-lcʰ
CLM/IPL: l-lc’w
CLM/ASC: l-lcʰw
PTC/FAC: r-rs
PTC/SUB: r-rz
PTC/ASM: r-rsw
PTC/SPC: r-rzw
PTC/COU: r-rc’
PTC/HYP: r-rcʰ
PTC/IPL: r-rc’w
PTC/ASC: r-rcʰw
TMP/FAC: n-nš
TMP/SUB: n-nž
TMP/ASM: n-nšw
TMP/SPC: n-nžw
TMP/COU: n-nč’
TMP/HYP: n-nčʰ
TMP/IPL: n-nč’w
TMP/ASC: n-nčʰw
MTV/FAC: m-mš
MTV/SUB: m-mž
MTV/ASM: m-mšw
MTV/SPC: m-mžw
MTV/COU: m-mč’
MTV/HYP: m-mčʰ
MTV/IPL: m-mč’w
MTV/ASC: m-mčʰw
CSQ/FAC: ň-ňš
CSQ/SUB: ň-ňž
CSQ/ASM: ň-ňšw
CSQ/SPC: ň-ňžw
CSQ/COU: ň-ňč’
CSQ/HYP: ň-ňčʰ
CSQ/IPL: ň-ňč’w
CSQ/ASC: ň-ňčʰw
SQN/FAC: l-lš
SQN/SUB: l-lž
SQN/ASM: l-lšw
SQN/SPC: l-lžw
SQN/COU: l-lč’
SQN/HYP: l-lčʰ
SQN/IPL: l-lč’w
SQN/ASC: l-lčʰw
EPD/FAC: r-rš
EPD/SUB: r-rž
EPD/ASM: r-ršw
EPD/SPC: r-ržw
EPD/COU: r-rč’
EPD/HYP: r-rčʰ
EPD/IPL: r-rč’w
EPD/ASC: r-rčʰw
DCL/FAC: n-nļ
DCL/SUB: m-mļ
DCL/ASM: ň-ňļ
DCL/SPC: n-ntļ
DCL/COU: m-mtļ
DCL/HYP: ň-ňtļ
DCL/IPL: l-ltļ
DCL/ASC: r-rtļ
CCL/FAC: l-lm
CCL/SUB: l-lļ
CCL/ASM: n-nl
CCL/SPC: ň-ňm
CCL/COU: m-mř
CCL/HYP: m-mt
CCL/IPL: ň-ňt
CCL/ASC: ň-ňn
CUL/FAC: r-rm
CUL/SUB: r-rl
CUL/ASM: m-ml
CUL/SPC: m-mn
CUL/COU: r-mř
CUL/HYP: m-mt’
CUL/IPL: ň-ňt’
CUL/ASC: ň-ňç
IMD/FAC: l-ln
IMD/SUB: l-nļ
IMD/ASM: l-lř
IMD/SPC: n-nm
IMD/COU: ň-ňř
IMD/HYP: m-mtʰ
IMD/IPL: ň-ňtʰ
IMD/ASC: ň-ňţ
TRD/FAC: l-nw
TRD/SUB: l-ny
TRD/ASM: l-lg
TRD/SPC: l-lgw
TRD/COU: l-lx
TRD/HYP: l-lxw
TRD/IPL: l-lv
TRD/ASC: l-lcw
TNS/FAC: r-nw
TNS/SUB: r-my
TNS/ASM: r-rg
TNS/SPC: r-rgw
TNS/COU: r-rx
TNS/HYP: r-rxw
TNS/IPL: r-rv
TNS/ASC: r-rcw
ITC/FAC: l-mw
ITC/SUB: l-my
ITC/ASM: l-lb
ITC/SPC: l-lbw
ITC/COU: l-lf
ITC/HYP: l-lfw
ITC/IPL: l-ňw
ITC/ASC: l-lčw
CSM/FAC: r-mw
CSM/SUB: r-ny
CSM/ASM: r-rb
CSM/SPC: r-rbw
CSM/COU: r-rf
CSM/HYP: r-rfw
CSM/IPL: r-ňw
CSM/ASC: r-rčw
