OBL: a
PRP: î
PRP: û
PUR: e’
CMM: au
AVR: eu’
ALP: oi’V
IND: u
GEN: ê
CSD: o’
COM: eu
CMP: ou’
INP: ëi’V
ABS: e
ATT: ô
ESS: ea
CNJ: iu
SML: a’V
EPS: au’V
ERG: o
PDC: ëi
ASI: eo
UTL: ou
ASS: e’V
PLM: eu’V
EFF: ö
ITP: öi
FUN: eö
ABE: ëu
CNR: i’V
LIM: iu’V
AFF: i
OGN: ae
TFM: oa
CVS: öu
ACS: o’V
LOC: â’V
DAT: ü
DAT: a’e
PAR: ia
PAR: ua
REF: oe
COR: ai’
DFF: u’V
ORI: ê’V
INS: ai
CRS: ie
CRS: ue
CLA: öa
DEP: ui’
PER: ö’V
PSV: ô’V
ACT: ei
CPS: io
CPS: uo
CNV: öe
PVS: ei’
PRO: ü’
PRO: ëu’V
ALL: î’V
ALL: û’V
DER: ui
PRD: iö
PRD: uö
IDP: üa
IDP: i’
PTL: oi’
PCV: ai’V
ABL: ëu’V
SIT: oi
MED: a’
BEN: üe
BEN: ö’
CON: au’
PCR: ei’V
NAV: ou’V
POS: â
APL: u’
TSP: üo
TSP: î’
TSP: û’
EXC: iu’
ELP: ui’V
VOC: ë
CMP1A: aì
CMP2A: eì
CMP3A: oì
CMP4A: uì
CMP5A: aù
CMP6A: eù
CMP7A: où
CMP8A: iù
CMP1B: ao
CMP2B: aü
CMP3B: eü
CMP4B: oü
CMP5B: ëì
CMP6B: öì
CMP7B: ëù
CMP8B: öù
CMP1C: eai
CMP2C: oai
CMP3C: eau
CMP4C: oau
CMP5C: uai
CMP5C: iau
CMP6C: uei
CMP6C: ieu
CMP7C: uoi
CMP7C: iou
CMP8C: uëi
CMP8C: iëu
