FAC/ASR: wë
SUB/ASR: wa
ASM/ASR: yë
SPC/ASR: ya
COU/ASR: yû
HYP/ASR: hë
IPL/ASR: ha
ASC/ASR: hû
ASC/ASR: hî
FAC/DIR: we
SUB/DIR: wö
ASM/DIR: ye
SPC/DIR: yö
COU/DIR: yeu
COU/DIR: wei
HYP/DIR: he
IPL/DIR: hö
ASC/DIR: hei
FAC/IRG: wu
SUB/IRG: wâ
ASM/IRG: yu
SPC/IRG: yâ
COU/IRG: yau
COU/IRG: wai
HYP/IRG: hu
IPL/IRG: hâ
ASC/IRG: hai
FAC/ADM: wo
SUB/ADM: wê
ASM/ADM: yo
SPC/ADM: yê
COU/ADM: you
COU/ADM: woi
HYP/ADM: ho
IPL/ADM: hê
ASC/ADM: hoi
FAC/HOR: wi
SUB/HOR: wô
ASM/HOR: yi
SPC/HOR: yô
COU/HOR: yiu
COU/HOR: wui
HYP/HOR: hi
IPL/HOR: hô
ASC/HOR: hui
FAC/DEC: wî
